,title,text,class
44,Норвежцы захотели власти в WADA,"Норвежский министр по делам детей, равноправия и социальной интеграции Линда Хеллеланд заявила, что хочет стать новым президентом Всемирного антидопингового агентства (WADA). «Нам нужно усилить борьбу с допингом, нам нужно, чтобы WADA было органом, который тщательно следит за спортом», — заявила Хеллеланд.",Спорт
45,Московский школьник принес в школу нож и напал на ученика,"В Москве подросток напал с ножом на ученика в школе. Инцидент произошел в школе на Планерной улице на северо-западе города, участникам конфликта по 16 лет. Один из них нанес другому непроникающее ножевое ранение. В МВД уже подтвердили эту информацию, на месте работают сотрудники полиции.",Россия
46,Перечислены главные причины гибели в отпусках,"Составлен рейтинг самых распространенных причин гибели туристов во время отпуска. Среди них оказались дорожно-транспортные происшествия, наркотики, алкоголь, прыжки с балконов в бассейн, несчастные случаи во время купания и животные. Завершило рейтинг известное у туристов занятие — селфи.",Путешествия
47,Названа причина появления загадочных инопланетных сигналов,"Астрономы Торонтского университета выяснили, что пульсар B1957+20, прозванный Черной Вдовой, испускает радиоизлучение, частотыа которого напоминает повторяющиеся быстрые радиовсплески у объекта FRB 121102. Это происходит из-за прохождения электромагнитных волн через облако ионизированного вещества.",Наука и техника
48,Бывший вице-мэр Великого Новгорода получил срок за совращение мальчиков,"Бывший заместитель мэра Великого Новгорода Вадим Фадеев приговорен к 11 годам колонии строгого режима за совращение мальчиков и распространение в интернете детской порнографии. Он курировал образование, молодежную политику и профилактику подростковой преступности. Фадеев выложил 28 порнороликов.",Силовые структуры
49,США обвинили в очередном ударе по войскам Асада,"Позиции сирийской правительственной армии в провинции Дейр-эз-Зоре атаковали военные силы возглавляемой США коалиции, которая ведет борьбу с боевиками террористической организации «Исламское государство» (ИГ, запрещена в России) в регионе. В Пентагоне информацию об атаке отвергли.",Мир
50,Раскрыты планы по изменению налогов в России,"Правительство до 2024 года не собирается менять налоги, сообщил министр финансов и первый вице-премьер страны Антон Силуанов. По его словам, в этот период некоторая настройка существующих в России налогов все же будет произведена — вероятно, речь пойдет об уменьшении налогов, негативно отражающихся на бизнесе.",Экономика
51,Украинская армия продолжила наступление на ДНР,В ДНР четвертый день идут бои вдоль всей линии фронта. Украинским силовикам не удалось занять господствующие высоты вокруг Горловки. Стороны перешли к артиллерийским обстрелам позиций противника. В районе Донецка ополченцы ДНР уничтожили украинскую диверсионную группу в составе пяти человек.,Бывший СССР
52,Полная модель «похудела» против своей воли,"Разработчики мобильного приложения Pip cam — Photo Maker использовали фотографии полных моделей, чтобы продемонстрировать пользователям все доступные функции. В числе женщин, снимки которых использовали для рекламного видеоролика, оказалась американская плюс-сайз модель Тесс Холидей.",Ценности
53,От Голливуда потребовали вводить геев и лесбиянок в каждый второй фильм,Альянс геев и лесбиянок против диффамации опубликовал ежегодный отчет об изображении представителей ЛГБТ-сообщества в фильмах крупнейших голливудских киностудий. Организация пожаловалась на резкое уменьшение числа персонажей с нетрадиционной сексуальной ориентацией в 2017 году.,Культура
54,«Дьявольский» трюк девушки-шопоголика поразил пользователей,"Британка под ником @gerbychic поделилась трюком, благодаря которому ей удается скрывать любовь к покупкам в интернете от родителей ее парня. По словам девушки, она живет вместе с молодым человеком и его родственниками. Она не хочет, чтобы близкие знали о ее вредной привычке тратить деньги на безделушки",Интернет и СМИ
55,"Канадец вломился в чужой дом, выпил вина и сыграл на пианино","В Канаде полиция арестовала взломщика, вломившегося в чужой дом, выпившего бутылку вина и сыгравшего на пианино. Звуки музыки разбудили двух жильцов, находившихся в тот момент на втором этаже, и они вызвали полицию. 33-летнего мужчину арестовали по  обвинению в нарушении неприкосновенности частной собственности.",Из жизни
56,Овечкин пренебрег суевериями после победы,"Нападающий «Вашингтон Кэпиталс» Александр Овечкин взял в руки Приз принца Уэльского за победу в Восточной конференции плей-офф Национальной хоккейной лиги (НХЛ). Российский форвард проигнорировал примету, согласно которой финалисты Кубка Стэнли на удачу не трогают этот трофей.",Спорт
57,В Кремле посмотрели интервью Юлии Скрипаль и засомневались,"Россия сомневается, что Юлия Скрипаль добровольно сделала свое последнее публичное заявление, сказал пресс-секретарь президента Дмитрий Песков. Он подчеркнул, что британская сторона до сих пор не предоставила России консульский доступ к Юлии и не соблюдает положения Венской конвенции.",Россия
58,Назван способ улучшить российскую экономику,"Неблагоприятная внешнеэкономическая обстановка и непредсказуемое законодательство заставляют иностранный бизнес чувствовать себя в России неуверенно и отказываться от инвестиций в страну, считает уполномоченный по защите прав предпринимателей в России. Он считает необходимым изменить налоговое законодательство.",Экономика
59,США продолжат ядерное сдерживание России,"Палата представителей Конгресса США отвергла предложение ограничить финансирование проекта по созданию новых ядерных боеголовок. Поправка к военному бюджету страны на 2019 год, согласно которой, финансирование создание боеголовок малой мощности W76-2 должно было быть сокращено вдвое, не была принята.",Мир
60,Создатель «Симпсонов» анонсировал выход мультсериала для взрослых,Премьера нового мультсериала Disenchantment («Разочарование») от создателя «Симпсонов» Мэтта Грейнинга состоится 17 августа. Disenchantment станет первым шоу Грейнинга за последние 20 лет. Мультсериал будет состоять из десяти эпизодов и выйдет на стриминговом сервисе Netflix.,Культура
61,Меркель расписалась в бессилии защитить бизнес от санкций США против Ирана,"Часть европейских компаний волей-неволей будет вынуждена выйти из Ирана из-за американских санкций. Об этом заявила канцлер Германии Ангела Меркель после переговоров с премьером Госсовета КНР Ли Кэцяном. Она отметила, что китайские компании способны заполнить освободившуюся нишу.",Экономика
62,В России нашлись пять работающих пенсионеров старше 100 лет,"Пенсионный фонд России обладает информацией о пяти работающих пенсионерах, которым на настоящий момент больше 100 лет. Большинство из них живут в Москве и Московской области, один — в Краснодарском крае, уточнили в учреждении. Всего, по данным ПФР, в России проживают свыше 16 тысяч россиян, отметивших столетний юбилей.",Россия
63,Взрослые поиздевались над не расслышавшим название фигур ребенком,"Пользователей сети насмешил ребенок, которому дали задание нарисовать и подписать геометрические фигуры. Мальчик выполнил задание, переведя в текст названия, которые он до этого только слышал. Основываясь на созвучии, он трактовал слово triangle («треугольник») как chriego, а circle («круг») как srko.",Интернет и СМИ
64,Сборной Англии понадобилась психологическая помощь на время ЧМ в России,"Футболисты сборной Англии выразили опасение, что их друзья и родственники, приехавшие на ЧМ 2018 года, станут жертвами расизма. Футбольная ассоциация Англии проводит специальную программу подготовки игроков к возможным проблемам в России. Футболистов будут консультировать по вопросу возможных проявлений расизма.",Спорт
65,Житель Орска украл гараж и попался,"Полиция Оренбургской области поймала мошенника, укравшего гараж. Как сообщает региональное МВД, местный житель представился владельцем металлического гаража и сдал конструкцию на металлолом. Злоумышленником оказался ранее судимый местный житель 1990 года рождения. Он признал свою вину и раскаялся. <br />",Из жизни
66,Северная Корея пригрозила сорвать переговоры с США,"Северная Корея готова пересмотреть возможность проведения саммита с США. В распространенном ЦТАК сообщении МИД отмечается, что судьба запланированной на 12 июня встречи между Ким Чен Ыном и Дональдом Трампом полностью зависит от Вашингтона, который может «оскорбить добрую волю» Пхеньяна.",Мир
67,Объяснено загадочное исчезновение древних американцев,"Ученые из Иллинойсского университета в Урбане-Шампейне и Тулейнского университета в Новом Орлеане изучили остатки поселения коренных американцев, которые жили в XIII веке нашей эры и были строителями церемониальных курганов. Исследователи полагают, что жители покинули свою деревню из-за исчезновения пресной воды.",Наука и техника
68,В сети похвастались свиданиями с бородатыми ящерицами,"Американка под ником @danisnobank прославилась в сети после того, как похвасталась необычным питомцем. Главным героем изображения стала бородатая ящерица по кличке Пети. Под ее лапой лежала ложка, а рядом стояла упаковка теста для печенья: создавалось ощущение, что пресмыкающееся собиралось испробовать десерт.",Интернет и СМИ
69,Перед Овечкиным замаячил Кубок Стэнли,"«Вашингтон Кэпиталс» в гостях обыграл «Тампа-Бэй Лайтнинг» в решающем, седьмом матче полуфинала Восточной конференции НХЛ и пробился в финал Кубка Стэнли. Игра завершилась со счетом 4:0. В финале «столичные» встретятся с дебютантом НХЛ «Вегас Голден Найтс».",Спорт
70,ФСБ показало видео задержания вербовщиков ИГ в Калининграде,ФСБ распространило кадры задержания в Калининградской области восьми вербовщиков террористической организации «Исламское государство». Все задержанные являются выходцами из стран Средней Азии. Решается вопрос о возбуждении уголовных дел.,Силовые структуры
71,США прекратят производство «Томагавков»,"Военно-морские силы США откажутся от покупки крылатых ракет Tomahawk, сообщает Defense One со ссылкой на проект бюджета ВМС на 2019 год. Вместо них американские военные планируют отдать предпочтение AGM-158C LRASM (Long Range Anti-Ship Missile) и NGLAW (Next Generation Land Attack Weapon).",Наука и техника
72,Руководство «Русала» ушло в отставку,"Руководство «Русала» заявило о своей отставке. 23 мая кресло генерального директора компании покинула Александра Бурико. Также совет директоров покидают Владислав Соловьев, Зигфрид Вольф, Максим Соков, Дмитрий Афанасьев, Гульжан Молдажанова, Ольга Машковская и Екатерина Никитина. Их отставка назначена на 28 июня.",Экономика
73,Сбербанк назвал срок начала полетов инкассаторских дронов,"Сбербанк планирует к концу года начать доставку наличных и грузов беспилотными вертолетами в отдаленные регионы России. Об этом рассказал зампред банка Станислав Кузнецов, пояснив, что в настоящее время идут работы по увеличению грузоподъемности инкассаторского дрона до 100 килограммов.",Экономика
74,Госсекретарь США рассказал о задаче свернуть «Северный поток-2»,"Госсекретарь США Майк Помпео рассказал о задаче не допустить поставок газа в Европу через «Северный поток-2». По его словам, ЕС практически не может противодействовать Москве из-за зависимости от поставок энергоресурсов, и США видят свою задачу в том, чтобы предоставить странам Старого света другие источники газа.",Экономика
75,Организаторы «Евровидения-2019» попросили фанатов не покупать билеты в Израиль,"Организаторы музыкального конкурса «Евровидение-2019» попросили фанатов повременить с покупкой билетов в Израиль и дождаться уточнений, где и когда пройдет шоу. Причина такого заявления не раскрывается, но, вероятно, связана с конфликтом по вопросу принадлежности Иерусалима еврейскому государству.",Культура
76,Пожарные спасли застрявшего бобра,"В американском городе Игл, штат Айдахо, пожарные освободили бобра, который застрял в ограде. Они раздвинули прутья при помощи специальных инструментов и протолкнули животное на противоположную сторону. На это у них ушло несколько минут. Все это время бобер недовольно шипел.",Из жизни
77,Суд обязал Трампа разбанить подписчиков в своем Twitter,"Президент США не вправе блокировать своих подписчиков в Twitter. К такому решению пришел федеральный суд Манхэттена. Судья Наоми Бухвальд пришла к выводу, что аккаунт Дональда Трампа @realDonaldTrump является «общественным форумом» и пользователи защищены первой поправкой к конституции США, гарантирующей свободу слова.",Интернет и СМИ
78,В России оценили перспективы встречи Путина с Трампом,"Подготовка встречи президентов США и России Дональда Трампа и Владимира Путина пока не продвигается. Об этом заявил помощник российского лидера Юрий Ушаков. «Подготовка замерла на стадии 20 марта, когда президент США пригласил Путина встретиться. Так и на этой точке все замерло», — пояснил чиновник.",Мир
79,Израильский F-35 назвали причиной сбоя системы ПВО в Сирии,"Израильский истребитель F-35I Adir мог стать причиной сбоя сирийской системы противовоздушной обороны (ПВО) в апреле 2018 года, полагает автор The War Zone Джозеф Тревитик. «Возможно, это был F-35, задействовавший свой мощный массив системы наблюдения за средствами радиоэлектронной борьбы противника», — пишет эксперт.",Наука и техника
80,Девушку попросили пройти капчу в реальной жизни при покупке машины,"Автора глянцевых изданий Allure, Glamour и TeenVogue из Флориды Марси Робин во время покупки машины в дилерском центре Fiat заставили подтвердить, что она не робот с помощью капчи. Распознать капчу ее попросили на финальном этапе сделки. Девушка удивилась, но тест прошла.",Интернет и СМИ
81,Загитова превзошла Медведеву,"Американское издание ESPN опубликовало рейтинг самых популярных спортсменок за 2018 год. Три первых места заняли теннисистки Серена Уильямс, Мария Шарапова и Винус Уильямс. Российская фигуристка Алина Загитова расположилась на 20-м месте, обогнав Евгению Медведеву на две позиции. <br /><br />",Спорт
82,Илон Маск выпустит «Правду» для разоблачения фейков,"Основатель компаний SpaceX и Tesla Илон Маск задумался о создании сервиса для оценки правдивости журналистских статей. «Собираюсь создать сайт, на котором посетитель сможет оценивать истинность любой статьи и отслеживать изменения уровня доверия для каждого журналиста. Подумываю назвать его ""Pravda""», — сообщил он.",Интернет и СМИ
83,Иран поставил перед Европой семь условий для сохранения ядерной сделки,"Иран выдвинул европейским странам семь условий, соблюдение которых сохранит приверженность Тегерана ядерной сделке. В частности, Тегеран настаивает на том, что Европа должна обеспечить гарантии для продажи иранской нефти, а также отсутствие препон для сотрудничества европейских банков с Ираном.",Мир
84,Чемпион России по футболу нашел плюс отечественной команды перед европейскими,"Полузащитник московского «Локомотива» Антон Миранчук рассказал, что сдерживает его от ухода в европейский чемпионат. «Меня сильно сдерживает тот факт, что ""Локомотив"" будет играть в Лиге чемпионов. Сейчас мне 22 года, и, сколько себя помню, всегда мечтал играть в Лиге чемпионов», — заявил футболист.",Спорт
85,В соцсетях предложили создать движение в поддержку Собянина,"Телеведущий Андрей Малахов предложил организовать общественное движение в поддержку мэра Москвы «За Собянина!» Шоумен отреагировал на пост учредителя благотворительного Фонда помощи хосписам «Вера» Нюты Федермессер, в котором та рассказала о градоначальнике, приехавшем на свадьбу к неизлечимо больному мужчине.",Россия
86,Россия не поверила заявлению Юлии Скрипаль и потребовала личной встречи,"Посольство России в Великобритании указало на странности в заявлении Юлии Скрипаль, распространенном накануне. По утверждению дипломатов, россиянка зачитывала заранее написанный текст. Более того, судя по целому ряду оборотов, это был перевод с английского, причем оригинал был составлен носителем языка.",Мир
87,Фотография с Цукербергом подпортила репутацию депутату,"Пользователи сети возненавидели депутата Европейского парламента Сесилию Викстрем (CeciliaWikstrom) после того, как та сделала селфи в обнимку с основателем Facebook Марком Цукербергом. Фото было сделано сразу после выступления Цукерберга в Брюсселе по делу о скандале с утекшими данными пользователей Facebook.",Интернет и СМИ
88,Украинскую диаспору решили бросить на российские посольства,"Вице-спикер Верховной Рады Ирина Геращенко полагает, что украинская диаспора поможет в освобождении находящихся в России граждан Украины, которых Киев считает политзаключенными. «В российских тюрьмах удерживаются больше 60 украинцев и крымских татар, к которым часто даже не пускают консулов», — сказала она.",Бывший СССР
89,Порошенко обвинили в оплате встречи с Трампом,"Личный адвокат президента США Майкл Коэн получил секретный платеж в размере 400 тысяч долларов за организацию встречи Дональда Трампа с его украинским коллегой Петром Порошенко. Об этом сообщает BBC News со ссылкой на источники в Киеве. По сведениям источников, оплата была произведена через посредников.",Мир
90,Порошенко назвал условие использования американских Javelin в Донбассе,"Бойцы ВСУ будут использовать предоставленные США противотанковые ракетные комплексы Javelin в зоне боевых действий в Донбассе только в случае «наступления подконтрольных России боевиков», сказал президент Украины Петр Порошенко. Он отметил, что Javelin станет дополнительным фактором сдерживания «российской агрессии».",Бывший СССР
91,Путин задумался об увеличении числа пожарных после трагедии в Кемерово,"Президент России Владимир Путин предложил подумать об увеличении численности состава пожарных служб после трагедии в Кемерово. Об этом он заявил во время встречи с бизнес-омбудсменом Борисом Титовым. Кроме того, он поддержал идею бизнес-омбудсмена о введении механизма обязательных противопожарных деклараций для ТЦ.",Россия
92,Из суперъяхты диктатора сделали отель,"Яхту Саддама Хусейна Basrah Breeze («Бриз Басры») не смогли продать и превратили в отель. В 2010 году Ирак вернул яхту диктатора на родину и выставил на торги за 30 миллионов долларов. В течение нескольких лет на оснащенную всеми удобствами лодку не находилось покупателя, и в итоге правительство сделало из нее отель.",Путешествия
93,Легенде чешского хоккея запретили завершать карьеру в России,"Президент омского «Авангарда» Максим Сушинский сообщил, что клубу не удалось подписать на один матч нападающего Яромира Ягра для того, чтобы он завершил карьеру в омской команде. Сушинский рассказал, что Континентальная хоккейная лига ввела новое положение, запретив подписывать игроков на один матч.",Спорт
94,Фермеры на грузовиках и вертолете погнались за вооруженными бандитами,"В австралийском городе Дирранбанди, штат Квинсленд, фермеры присоединились к погоне за вооруженными бандитами. На помощь полиции приехали около десяти фермеров на грузовиках, пикапах и других транспортных средствах. Кроме того, в воздух подняли вертолет, обычно используемый для опрыскивания посевов.",Из жизни
95,Украинский депутат пообещал сжечь Верховную Раду,"Лидер Радикальной партии в Верховной Раде Украины Олег Ляшко, комментируя решение Европейского суда по правам человека, обязавшего Киев снять мораторий на продажу земли, пообещал сжечь украинский парламент. ЕСПЧ обязал Украину отменить мораторий на продажу земли 22 мая.",Бывший СССР
96,Скрипаль рассказала о последствиях яда,"Юлия Скрипаль, отравленная вместе с отцом, бывшим полковником ГРУ Сергеем Скрипалем, в британском Солсбери в интервью агентству Reuters рассказала о последствиях яда. «Тот факт, что было применено нервно-паралитическое вещество, шокирует (...) Вся моя жизнь была перевернута с ног на голову», — пояснила женщина.",Мир
97,Россию обязали выплатить два миллиарда евро за нарушение прав россиян,"Европейский суд по правам человека (ЕСПЧ) присудил выплатить 1,95 миллиарда евро по искам граждан России против государства за последние 20 лет. Чаще всего Россия нарушала право граждан на справедливый суд, статью о запрете пыток и бесчеловечного отношения и право на свободу и личную неприкосновенность.",Россия
98,Юлия Скрипаль захотела вернуться в Россию,"Юлия Скрипаль, отравленная вместе с отцом, бывшим полковником ГРУ, в британском Солсбери в интервью агенству Reuters рассказала, что выздоровление было долгим и тяжелом. «Нам так повезло, что мы оба пережили это покушение. В долгосрочной перспективе я надеюсь вернуться домой, в мою страну», — пояснила она.",Мир
99,«Калашников» показал «Витязя» в действии,"Российский концерн «Калашников» выложил на YouTube видео, в котором эксперты демонстрируют применение в различных тактических сценариях пистолета-пулемета «Витязь», пистолета Ярыгина, а также ночного оборудования и экипировки, произведенных компанией «Группа 99».",Наука и техника
100,Мировое лидерство России поставили под сомнение,"Выход России на траекторию устойчивого роста и попадание в список ведущих экономик планеты поставлены под сомнение — Международный валютный фонд (МВФ) прогнозирует, что российская экономика не сможет резко нарастить рост в ближайшие годы. Более того, Россия уступает по уровню роста ВВП развивающимся странам.",Экономика
101,Россиянам запретят держать хищников в квартирах,"В Государственную Думу внесли законопроект о запрете содержания опасных животных в домах и квартирах, а также о регистрации потенциально опасных питомцев. Авторы инициативы хотят создать перечни животных, запрещенных к содержанию и потенциально опасных собак.",Россия
102,Латвия захотела избавиться от «Газпрома»,"Латвия и концерн «Газпром» ведут переговоры о выкупе принадлежащей российской компании доли местного газового оператора Conexus Baltic Grid. Соглашение пока не достигнуто. «Газпром» должен был продать принадлежащие ему акции Conexus, но не сделал этого, поэтому по-прежнему остается акционером латвийской компании.",Экономика
103,Украинские морпехи устроили Порошенко демарш,"Бойцы 1-го Феодосийского отдельного батальона морской пехоты Украины выступили против смены цвета берета на цвет морской волны, объявленной президентом страны Петром Порошенко. Морпехи вышли на плац и выстроились перед президентом страны и руководством украинской армии в черных беретах.",Бывший СССР
104,Многодетной матери из Подмосковья вернули потерянный на шествии орден,"Матери шестерых детей из подмосковного Королева Марине Дядюн вернули награду, которую она потеряла во время шествия «Бессмертного полка» 9 мая. По словам женщины, в этом году она вместе с семьей решила принять участие в акции на Красной площади и в первый раз надела свой орден «Материнская слава».",Россия
105,Опасный вирус стремительно захватил сотни тысяч устройств по всему миру,"Американская компания Cisco Systems предупредила пользователей об активном распространении вредоносного программного обеспечения VPNFilter. Вирус заразил уже 500 тысяч компьютеров как минимум в 54 странах, в том числе ключевую инфраструктуру Украины. СБУ считает, что это связано с финалом Лиги чемпионов.",Интернет и СМИ
106,Выпивохи пострадают из-за чемпионата мира по футболу,"Петербургское заксобрание утвердило в третьем чтении закон об ограничении продажи алкоголя во время чемпионата мира по футболу 2018 года. Законопроект вводит полный запрет на розничную продажу алкоголя, кроме услуг организаций общественного питания, накануне и в дни проведения матчей чемпионата.",Спорт
107,Найдена самая дешевая авиакомпания в мире,"Сервис бронирования путешествий Rome to Rio назвал самую дорогую и самую дешевую авиакомпании в мире. Дешевле всего оказался австралийский лоукостер Tiger Air, который совершает только внутренние перелеты. Таким образом, стоимость одного километра у авиакомпании составила 3,4 рубля.",Путешествия
108,Американские дипломаты пожаловались на акустические атаки в Китае,"Дипломатическая миссия США в Китае рассказала о том, что их сотрудник в этой стране испытывал «аномальные ощущения звука и давления». Он пояснил, что они «тонкие и смутные». Дипломаты разработали специальную инструкцию для тех, кто испытает схожие симптомы. Так, советуется переместиться туда, где таких звуков нет.",Мир
109,Водители поймали упавшего с пятого этажа мальчика в простыню,"В китайском городе Ханчжоу, провинция Чжэцзян, группа водителей службы доставки помогла поймать мальчика, который вывалился из окна на пятом этаже многоэтажного дома. Они поняли, что мальчик вот-вот сорвется, схватили простыню, которая сушилась на веревке, и растянули ее под ним.",Из жизни
110,Литва назвала сквер у посольства России именем  Немцова,"Сквер перед зданием российского посольства в Вильнюсе назван именем убитого в Москве российского политика Бориса Немцова. Соответствующее решение принял городской совет Вильнюса. Инициативу поддержали 32 члена горсовета, один выступил против, еще один воздержался. Решение вступит в силу 24 мая.",Бывший СССР
111,В России решили декриминализировать работу врачей с наркотиками,Министерство здравоохранения России предложило перестать уголовно преследовать врачей и фармацевтов за неправильное обращение с наркотиками. Законопроект вносит изменения в статью 228.2 УК России («Нарушение правил оборота наркотических средств или психотропных веществ»).,Россия
